2020-09-05 16:45:03 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (3c7c9eb489033211f50078fdff730037)] -> xpath: //span[@class='heading']//b[contains(text(),'Degrees')]]
2020-09-05 16:45:04 INFO  CommonUtility 29 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/config.properties
2020-09-05 16:45:04 INFO  CommonUtility 36 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/log4j.properties
2020-09-05 16:51:04 INFO  BrowserUtility 22 - Launching Browser: chrome
2020-09-05 16:52:12 INFO  WeatherTest 40 - Automation running on: Web
2020-09-05 16:52:12 INFO  WeatherTest 41 - Environment is: stage
2020-09-05 16:52:20 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (0676a40d163fe51f32b03f85f1d450b4)] -> id: h_sub_menu]
2020-09-05 16:52:33 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (0676a40d163fe51f32b03f85f1d450b4)] -> xpath: //a[text()='WEATHER']]
2020-09-05 16:52:51 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (0676a40d163fe51f32b03f85f1d450b4)] -> id: searchBox]
2020-09-05 16:52:51 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (0676a40d163fe51f32b03f85f1d450b4)] -> id: searchBox]
2020-09-05 16:52:59 INFO  BrowserUtility 50 - Displayed [[ChromeDriver: chrome on WINDOWS (0676a40d163fe51f32b03f85f1d450b4)] -> xpath: //span[@class='heading']//b[contains(text(),'Degrees')]]
2020-09-05 16:53:01 INFO  WeatherTest 55 - Browser Closed
2020-09-05 16:53:02 INFO  APIWeatherTest 32 - Test running on: API
2020-09-05 16:53:02 INFO  CommonUtility 29 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/config.properties
2020-09-05 16:53:02 INFO  CommonUtility 36 - Current dir using System:E:\Cowrks Project\Weather_Project/src/main/java/com/tv/properties/log4j.properties
2020-09-05 16:53:02 INFO  APIWeatherTest 45 - Automation running on: API
2020-09-05 16:53:02 INFO  APIWeatherTest 46 - Environment is: stage
2020-09-05 16:53:15 INFO  APIWeatherTest 55 - Browser Closed
